ticker,market,isin,status,signal_type,dominant_timeframe,dominant_length,dominant_average_type,dominant_direction,latest_close,previous_close,dominant_value_latest,dominant_value_previous,score,bounce_count,bars_streak,message,error
NVDA,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,EMA,support,210.69,205.1,158.3069,156.1688,140.0,5,90,NVDA: no break on dominant Biweekly 50EMA support.,
AAPL,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,EMA,support,312.06,271.1003,207.3288,203.054,237.0,3,207,AAPL: no break on dominant Monthly 50EMA support.,
GOOG,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,EMA,support,286.6874,313.3905,112.4424,105.3304,106.0,2,86,GOOG: no break on dominant Quarterly 50EMA support.,
MSFT,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,450.24,406.8987,370.1214,367.0688,196.0,2,176,MSFT: no break on dominant Monthly 50SMA support.,
AMZN,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,EMA,support,208.27,230.82,121.2299,117.6772,134.0,4,94,AMZN: no break on dominant Quarterly 50EMA support.,
TSM,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,SMA,support,423.93,417.4724,249.2132,244.3877,150.0,8,70,TSM: no break on dominant Biweekly 50SMA support.,
AVGO,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,SMA,support,410.7,385.1205,271.8009,266.6758,175.0,8,95,AVGO: no break on dominant Biweekly 50SMA support.,
2222.SR,Saudi Exchange (Tadawul),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
TSLA,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
META,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
005930.KS,Korea Exchange,,no_signal,,Quarterly,50,EMA,support,167200.0,119652.3438,55639.2922,51085.7939,162.0,7,92,005930.KS: no break on dominant Quarterly 50EMA support.,
000660.KS,Korea Exchange,,no_signal,,Biweekly,50,SMA,support,2764000.0,2070000.0,530699.2059,479550.6297,191.0,11,81,000660.KS: no break on dominant Biweekly 50SMA support.,
MU,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
BRK-B,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,EMA,support,489.25,474.48,469.3767,468.5655,236.0,14,96,BRK-B: no break on dominant Biweekly 50EMA support.,
LLY,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,EMA,support,1105.0,932.9939,701.1729,684.6902,192.0,1,182,LLY: no break on dominant Monthly 50EMA support.,
WMT,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Weekly,50,EMA,support,117.18,121.04,114.0586,113.9312,212.0,8,132,WMT: no break on dominant Weekly 50EMA support.,
AMD,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
JPM,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,EMA,support,320.72,299.31,268.5121,266.3811,193.0,11,83,JPM: no break on dominant Biweekly 50EMA support.,
ORCL,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,20,SMA,support,146.598,193.7195,124.6377,120.5728,231.0,15,81,ORCL: no break on dominant Quarterly 20SMA support.,
ASML.AS,Euronext Amsterdam,,no_signal,,Quarterly,50,SMA,support,1116.7307,918.135,363.1856,342.1436,111.0,0,111,ASML.AS: no break on dominant Quarterly 50SMA support.,
V,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,20,SMA,support,301.6147,349.2642,258.4571,253.5596,93.0,2,73,V: no break on dominant Quarterly 20SMA support.,
XOM,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
INTC,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
JNJ,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,EMA,support,243.0423,204.6785,126.6759,121.9263,206.0,1,196,JNJ: no break on dominant Quarterly 50EMA support.,
TCEHY,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
CSCO,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Weekly,50,SMA,support,119.54,121.1,80.1815,79.155,183.0,9,93,CSCO: no break on dominant Weekly 50SMA support.,
MA,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,20,EMA,support,498.8028,569.0459,439.1652,432.8875,119.0,4,79,MA: no break on dominant Quarterly 20EMA support.,
COST,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,EMA,support,956.32,1013.0601,769.2401,761.6041,201.0,0,201,COST: no break on dominant Monthly 50EMA support.,
CAT,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,875.87,890.11,354.245,340.867,239.0,12,119,CAT: no break on dominant Monthly 50SMA support.,
LRCX,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
601939.SS,Shanghai Stock Exchange,,no_signal,,Biweekly,50,SMA,support,10.7,9.96,8.6007,8.5247,236.0,15,86,601939.SS: no break on dominant Biweekly 50SMA support.,
ABBV,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,EMA,support,216.49,227.23,197.1762,196.3879,187.0,11,77,ABBV: no break on dominant Biweekly 50EMA support.,
ARM,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
PLTR,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,EMA,support,128.47,135.53,119.5644,119.2009,111.0,3,81,PLTR: no break on dominant Biweekly 50EMA support.,
BAC,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
CVX,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
NFLX,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
AMAT,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,450.06,394.0002,177.94,171.4793,268.0,14,128,AMAT: no break on dominant Monthly 50SMA support.,
UNH,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
RO.SW,SIX Swiss Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
KO,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,78.5032,78.2548,61.6971,61.2213,275.0,7,205,KO: no break on dominant Monthly 50SMA support.,
GE,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,EMA,support,335.3,323.76,250.2826,246.8125,191.0,10,91,GE: no break on dominant Biweekly 50EMA support.,
601288.SS,Shanghai Stock Exchange,,no_signal,,Biweekly,50,SMA,support,6.8,6.32,5.8041,5.7532,273.0,18,93,601288.SS: no break on dominant Biweekly 50SMA support.,
PG,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,SMA,support,143.3605,141.2362,102.7225,100.9094,267.0,1,257,PG: no break on dominant Quarterly 50SMA support.,
MS,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,208.0,190.59,108.0928,105.4526,173.0,10,73,MS: no break on dominant Monthly 50SMA support.,
HSBC,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Weekly,50,EMA,support,94.97,92.67,77.2729,76.5505,257.0,7,187,HSBC: no break on dominant Weekly 50EMA support.,
HD,US listing (Yahoo Finance symbol has no suffix),,signal,break_below_dominant_support,Monthly,50,SMA,support,314.779,326.3521,325.2535,324.325,248.0,6,188,HD: Break below dominant support at Monthly 50SMA.,
9984.T,Tokyo Stock Exchange,,no_signal,,Quarterly,50,SMA,support,3555.0,4393.8672,1478.2217,1422.8455,115.0,1,105,9984.T: no break on dominant Quarterly 50SMA support.,
GS,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
1398.HK,Hong Kong Stock Exchange,,no_signal,,Weekly,50,EMA,support,6.85,7.22,6.1787,6.1513,276.0,15,126,1398.HK: no break on dominant Weekly 50EMA support.,
BABA,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
MRK,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
